n,k,algorithm,avg_comparisons,avg_swaps
25300,1,randomized,49620.84,24354.2
25300,1,deterministic,202291.2,116233.34
25400,1,randomized,46203.48,20834.24
25400,1,deterministic,203291.34,116843.9
25500,1,randomized,52877.78,27410.9
25500,1,deterministic,203369.12,116841.5
25600,1,randomized,52317.12,26748.64
25600,1,deterministic,204709.32,117674.44
25700,1,randomized,51006.96,25340.1
25700,1,deterministic,204803.72,117712.58
25800,1,randomized,48666.88,22896.28
25800,1,deterministic,205640.2,118189.88
25900,1,randomized,54157.78,28289.26
25900,1,deterministic,206065.52,118427.44
26000,1,randomized,48007.9,22039.5
26000,1,deterministic,207789.08,119458.26
26100,1,randomized,50269.14,24200.14
26100,1,deterministic,208676.94,119899.88
26200,1,randomized,56384.62,30214.82
26200,1,deterministic,209272.26,120253.62
26300,1,randomized,51974.2,25704.56
26300,1,deterministic,209759.26,120494.62
26400,1,randomized,51529.64,25160.96
26400,1,deterministic,211172.04,121299.68
26500,1,randomized,53184.14,26717.04
26500,1,deterministic,211183.92,121399.24
26600,1,randomized,51228.22,24657.5
26600,1,deterministic,212891.4,122304.64
26700,1,randomized,55787.3,29120.26
26700,1,deterministic,213773.56,122825.66
26800,1,randomized,54688.92,27920.58
26800,1,deterministic,214022.16,122937.3
26900,1,randomized,53097.44,26229.06
26900,1,deterministic,214141.52,123011.94
27000,1,randomized,53216.38,26247.42
27000,1,deterministic,215480.3,123732.6
27100,1,randomized,59862.34,32796.84
27100,1,deterministic,216650.44,124424.18
27200,1,randomized,59426.06,32260.78
27200,1,deterministic,217208.32,124758.04
27300,1,randomized,56055.34,28785.5
27300,1,deterministic,218398.88,125439.7
27400,1,randomized,51998.54,24629.44
27400,1,deterministic,218908.06,125855.3
27500,1,randomized,54704.38,27234.68
27500,1,deterministic,220312.1,126611.82
27600,1,randomized,56975.32,29406.66
27600,1,deterministic,219297.62,126063.56
27700,1,randomized,56219.78,28551.58
27700,1,deterministic,221498.64,127285.9
27800,1,randomized,54258.88,26489.38
27800,1,deterministic,222028.68,127578.0
27900,1,randomized,56089.82,28220.42
27900,1,deterministic,223149.48,128330.1
28000,1,randomized,52290.96,24323.56
28000,1,deterministic,224409.26,128922.82
28100,1,randomized,57588.7,29519.38
28100,1,deterministic,225260.56,129416.52
28200,1,randomized,53987.76,25818.9
28200,1,deterministic,225563.46,129658.78
28300,1,randomized,60681.48,32413.06
28300,1,deterministic,226310.32,130079.62
28400,1,randomized,54887.38,26517.62
28400,1,deterministic,227028.8,130354.18
28500,1,randomized,55598.84,27128.92
28500,1,deterministic,227475.94,130667.58
28600,1,randomized,62416.28,33849.56
28600,1,deterministic,228515.78,131238.7
28700,1,randomized,58022.5,29354.16
28700,1,deterministic,228823.88,131455.04
28800,1,randomized,56317.12,27547.18
28800,1,deterministic,231077.5,132739.1
28900,1,randomized,61754.94,32885.42
28900,1,deterministic,231279.82,132911.9
29000,1,randomized,58734.9,29767.34
29000,1,deterministic,231438.44,133006.1
29100,1,randomized,60370.5,31303.08
29100,1,deterministic,232989.64,133936.38
29200,1,randomized,57153.0,27982.14
29200,1,deterministic,233678.52,134210.2
29300,1,randomized,57385.72,28115.78
29300,1,deterministic,233972.22,134368.5
29400,1,randomized,56308.04,26939.34
29400,1,deterministic,234784.72,134871.18
29500,1,randomized,59077.64,29609.78
29500,1,deterministic,236517.9,135945.98
29600,1,randomized,58099.92,28530.68
29600,1,deterministic,237284.48,136314.24
29700,1,randomized,57783.18,28114.46
29700,1,deterministic,237285.2,136299.42
29800,1,randomized,56611.58,26842.24
29800,1,deterministic,238398.66,136970.66
29900,1,randomized,62102.94,32235.92
29900,1,deterministic,238844.64,137196.72
30000,1,randomized,58588.74,28620.54
30000,1,deterministic,239818.4,137772.54
30100,1,randomized,57281.46,27212.62
30100,1,deterministic,241641.64,138863.02
30200,1,randomized,59716.48,29546.04
30200,1,deterministic,241998.92,138921.46
30300,1,randomized,61904.02,31637.5
30300,1,deterministic,242683.52,139399.52
30400,1,randomized,57546.68,27177.42
30400,1,deterministic,242874.08,139493.54
30500,1,randomized,60454.12,29984.64
30500,1,deterministic,243755.3,139951.28
30600,1,randomized,59782.8,29214.08
30600,1,deterministic,245141.08,140757.78
30700,1,randomized,63887.66,33221.42
30700,1,deterministic,244483.08,140401.26
30800,1,randomized,59862.62,29094.18
30800,1,deterministic,246593.6,141655.92
30900,1,randomized,64773.6,33905.36
30900,1,deterministic,247316.96,142104.24
31000,1,randomized,58714.0,27745.82
31000,1,deterministic,247595.6,142182.02
31100,1,randomized,59591.26,28523.04
31100,1,deterministic,248736.18,142857.5
31200,1,randomized,59830.22,28660.42
31200,1,deterministic,249602.0,143397.68
31300,1,randomized,67540.16,36273.06
31300,1,deterministic,251542.72,144537.1
31400,1,randomized,66479.62,35110.9
31400,1,deterministic,251631.12,144501.78
31500,1,randomized,62729.22,31260.38
31500,1,deterministic,253237.36,145489.08
31600,1,randomized,60366.72,28797.34
31600,1,deterministic,253015.54,145326.3
31700,1,randomized,63208.86,31539.6
31700,1,deterministic,254349.76,146090.42
31800,1,randomized,72092.14,40325.88
31800,1,deterministic,254753.44,146237.52
31900,1,randomized,62450.7,30581.22
31900,1,deterministic,256284.66,147224.62
32000,1,randomized,62112.38,30142.88
32000,1,deterministic,255976.46,147038.64
32100,1,randomized,63732.12,31663.16
32100,1,deterministic,256949.82,147578.7
32200,1,randomized,62457.86,30288.02
32200,1,deterministic,258044.26,148178.78
32300,1,randomized,64087.02,31821.44
32300,1,deterministic,259498.22,149074.78
32400,1,randomized,67775.88,35405.62
32400,1,deterministic,259893.3,149247.56
32500,1,randomized,64842.94,32375.42
32500,1,deterministic,260728.82,149732.72
32600,1,randomized,62299.42,29731.2
32600,1,deterministic,261576.48,150257.26
32700,1,randomized,66750.4,34082.08
32700,1,deterministic,261716.84,150246.92
32800,1,randomized,64127.98,31359.72
32800,1,deterministic,263182.98,151134.84
32900,1,randomized,60505.7,27637.2
32900,1,deterministic,263255.88,151275.02
33000,1,randomized,63289.28,30320.26
33000,1,deterministic,264691.42,151963.92
33100,1,randomized,67788.44,34719.6
33100,1,deterministic,266192.68,152816.58
33200,1,randomized,68532.08,35363.02
33200,1,deterministic,266492.98,153091.32
33300,1,randomized,65754.28,32485.82
33300,1,deterministic,266932.02,153319.28
33400,1,randomized,69819.18,36450.52
33400,1,deterministic,268292.18,154103.56
33500,1,randomized,73009.86,39542.66
33500,1,deterministic,268230.08,153910.4
33600,1,randomized,65528.6,31959.76
33600,1,deterministic,269714.52,154894.3
33700,1,randomized,70610.0,36941.32
33700,1,deterministic,271445.18,155987.02
33800,1,randomized,69424.52,35655.2
33800,1,deterministic,270598.76,155387.42
33900,1,randomized,62573.46,28705.32
33900,1,deterministic,271583.3,155909.52
34000,1,randomized,74783.26,40814.84
34000,1,deterministic,273262.16,156927.58
34100,1,randomized,69182.0,35114.58
34100,1,deterministic,274891.88,157962.98
34200,1,randomized,68336.94,34169.82
34200,1,deterministic,273951.8,157336.84
34300,1,randomized,66542.14,32271.4
34300,1,deterministic,275243.5,158026.52
34400,1,randomized,66431.56,32065.3
34400,1,deterministic,276744.84,158999.7
34500,1,randomized,70825.94,36356.54
34500,1,deterministic,276169.82,158628.22
34600,1,randomized,67599.06,33031.3
34600,1,deterministic,277981.9,159739.86
34700,1,randomized,67736.62,33068.22
34700,1,deterministic,278228.1,159739.74
34800,1,randomized,71979.4,37211.92
34800,1,deterministic,279292.56,160409.1
34900,1,randomized,70877.14,36008.46
34900,1,deterministic,280433.46,160994.74
35000,1,randomized,74892.54,39921.92
35000,1,deterministic,280349.82,161048.76
35100,1,randomized,63009.22,27939.96
35100,1,deterministic,281506.22,161671.68
35200,1,randomized,72878.02,37711.66
35200,1,deterministic,282831.44,162530.16
35300,1,randomized,62434.46,27165.14
35300,1,deterministic,283371.72,162790.52
35400,1,randomized,71825.92,36455.34
35400,1,deterministic,285315.38,163916.82
35500,1,randomized,68116.36,32649.1
35500,1,deterministic,284232.44,163206.7
35600,1,randomized,67987.7,32420.04
35600,1,deterministic,285715.48,163999.1
35700,1,randomized,68667.72,33001.76
35700,1,deterministic,285799.32,164076.94
35800,1,randomized,68108.22,32337.78
35800,1,deterministic,287011.58,164736.42
35900,1,randomized,74590.9,38724.36
35900,1,deterministic,287576.24,165182.0
36000,1,randomized,72719.68,36751.54
36000,1,deterministic,289267.14,166185.8
36100,1,randomized,68517.98,32447.16
36100,1,deterministic,290211.12,166736.88
36200,1,randomized,72561.26,36394.76
36200,1,deterministic,290888.46,167064.72
36300,1,randomized,77020.92,40752.5
36300,1,deterministic,288928.98,165857.26
36400,1,randomized,69947.12,33578.92
36400,1,deterministic,292055.74,167590.12
36500,1,randomized,73481.88,37014.22
