n,group_size,k,avg_comparisons,avg_swaps,avg_time_sec
37000,5,30,298464.6,171406.03333333333,0.09910106658935547
38000,5,15,303604.26666666666,174312.7,0.09945950508117676
38000,5,20,305701.43333333335,175515.03333333333,0.10038132667541504
38000,5,30,304521.8,174872.5,0.10004457632700602
39000,5,15,314097.9,180365.5,0.10492945512135823
39000,5,20,314128.8,180363.23333333334,0.10452260176340739
39000,5,30,313557.36666666664,179978.9,0.10385222434997558
40000,5,15,320027.63333333336,183851.8,0.10565343697865805
40000,5,20,321250.8,184357.5,0.1077672561009725
40000,5,30,322620.2,185255.73333333334,0.10608204205830891
41000,5,15,330500.06666666665,189784.63333333333,0.10857884883880616
41000,5,20,328687.86666666664,188783.0,0.10815059343973796
41000,5,30,330070.1,189492.8,0.1085512638092041
42000,5,15,338474.63333333336,194270.83333333334,0.11398115158081054
42000,5,20,336117.36666666664,192904.56666666668,0.11009574731190999
42000,5,30,336827.06666666665,193205.93333333332,0.11134243806203206
43000,5,15,345154.5,198182.3,0.11362797419230143
43000,5,20,345436.8,198085.56666666668,0.11013718446095784
43000,5,30,346263.0,198725.06666666668,0.11393333276112874
44000,5,15,355211.5,203794.56666666668,0.1195424477259318
44000,5,20,355287.1666666667,204180.23333333334,0.11593148708343506
44000,5,30,355644.06666666665,204306.73333333334,0.115606156984965
45000,5,15,363229.26666666666,208421.76666666666,0.12016026178995769
45000,5,20,362786.76666666666,208264.13333333333,0.12009760538736979
45000,5,30,362349.8,208106.43333333332,0.12202183405558269
46000,5,15,371399.0,213154.93333333332,0.12095873355865479
46000,5,20,370863.0,212687.93333333332,0.12414188385009765
46000,5,30,369943.93333333335,212422.73333333334,0.12320312658945719
47000,5,15,378969.6666666667,217530.7,0.12805171807607016
47000,5,20,377864.1666666667,216748.13333333333,0.12584893703460692
47000,5,30,379540.26666666666,217977.96666666667,0.12678194840749105
48000,5,15,386732.3333333333,221879.4,0.12769885063171388
48000,5,20,387949.56666666665,222716.66666666666,0.12903708616892498
48000,5,30,386676.1,221932.33333333334,0.12811671098073324
49000,5,15,393694.8,226017.1,0.13161303997039794
49000,5,20,395247.23333333334,226926.7,0.12863532702128092
49000,5,30,395735.6666666667,227191.9,0.13223762512207032
50000,5,15,402957.6666666667,231294.66666666666,0.13344802061716715
50000,5,20,403051.06666666665,231185.83333333334,0.1347683032353719
50000,5,30,401032.5,230178.0,0.13046812216440837
1000,7,15,7348.966666666666,4414.133333333333,0.0021532058715820314
1000,7,20,7424.6,4465.333333333333,0.002453780174255371
1000,7,30,7346.933333333333,4417.333333333333,0.0023544947306315105
2000,7,15,15218.333333333334,9105.066666666668,0.004558690388997396
2000,7,20,15335.1,9183.133333333333,0.0046441078186035155
2000,7,30,15190.8,9078.366666666667,0.0045425812403361
3000,7,15,23236.833333333332,13872.066666666668,0.007086634635925293
3000,7,20,23061.333333333332,13769.433333333332,0.006895303726196289
3000,7,30,23276.566666666666,13871.833333333334,0.007956894238789876
4000,7,15,31317.666666666668,18637.766666666666,0.010456124941507975
4000,7,20,30992.033333333333,18445.8,0.009807554880777995
4000,7,30,31190.766666666666,18553.966666666667,0.00935206413269043
5000,7,15,39164.3,23307.133333333335,0.012125563621520997
5000,7,20,38990.7,23198.666666666668,0.011797761917114258
5000,7,30,39151.0,23301.033333333333,0.011714696884155273
6000,7,15,47426.333333333336,28193.766666666666,0.015450048446655273
6000,7,20,47302.6,28141.5,0.014243380228678385
6000,7,30,47334.566666666666,28119.666666666668,0.015341822306315105
7000,7,15,55362.73333333333,32906.5,0.018164483706156413
7000,7,20,55515.0,32968.666666666664,0.017229962348937988
7000,7,30,54978.63333333333,32642.6,0.017018508911132813
